"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","LCSC"
"1","3","C1, C2, C3","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","C141382"
"2","1","C4","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","C396721"
"3","1","J1","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","",""
"4","1","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~","",""
"5","1","R1","4700","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C208892"
"6","1","R2","10000","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C269674"
"7","1","RN1","4x75R","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0603","~","","C606219"
"8","4","TP1, TP2, TP3, TP4","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","",""
"9","1","U1","THS7374","Amplifier_Video:THS7374","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://www.ti.com/lit/ds/symlink/ths7374.pdf","","C2652746"
